Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
6867573;11657327;11495978;2;KU;35;N; ;0;ei henkilövahinkoa;SF ;B           ;17
6867573;11657327;11495979;2;MA;6;M; ;L;loukkaantunut;SF ;            ;
6867573;11657327;11495980;2;MA;4;M; ;L;loukkaantunut;SF ;            ;
6867573;11657327;11495981;2;MA;9;M; ;L;loukkaantunut;SF ;            ;
6867573;11657328;11495982;3;MA;32;M; ;0;ei henkilövahinkoa;SF ;            ;
6867573;11657328;11495983;3;KU;55;N; ;0;ei henkilövahinkoa;SF ;            ;37
6892639;11657329;11495984;1;KU;19;N; ;0;ei henkilövahinkoa;SF ;B           ;
6892639;11657330;11495985;2;KU;19;M; ;0;ei henkilövahinkoa;SF ;B           ;
6880613;11657331;11495986;1;KU;29;N; ;L;loukkaantunut;SF ;            ;12
6880613;11657331;11495987;1;MA;26;M; ;L;loukkaantunut;SF ;            ;
6880613;11657332;11495988;2;KU;77;N; ;0;ei henkilövahinkoa;SF ;            ;44
6880613;11657332;11495989;2;MA;81;N; ;0;ei henkilövahinkoa;SF ;            ;
6880613;11657333;11495990;3;KU;72;M; ;L;loukkaantunut;SF ;            ;46
6880613;11657333;11495991;3;MA;68;M; ;0;ei henkilövahinkoa;SF ;            ;
6880613;11657334;11495992;4;KU;62;M; ;0;ei henkilövahinkoa;SF ;            ;45
6844826;11657337;11495996;1;KU;59;N; ;0;ei henkilövahinkoa;SF ;AB          ;36
6844826;11657337;11495997;1;MA;67;M; ;0;ei henkilövahinkoa;SF ;            ;
6844826;11657337;11495998;1;MA;41;M; ;0;ei henkilövahinkoa;SF ;            ;
6844826;11657338;11495999;2;KU;26;N; ;0;ei henkilövahinkoa;VN ;B           ;5
6844826;11657338;11496000;2;MA;1;N; ;0;ei henkilövahinkoa;VN ;            ;
6844826;11657338;11496001;2;MA;4;N; ;L;loukkaantunut;VN ;            ;
6892335;11657559;11496012;1;KU;74;M; ;0;ei henkilövahinkoa;SF ;            ;46
6892335;11657560;11496013;2;XX;; ; ;-;NA;   ;            ;
6912257;11657561;11496014;1;KU;45;M; ;K;kuollut;SF ;            ;27
6912257;11657562;11496015;2;KU;28;N; ;L;loukkaantunut;SF ;B           ;10
6912257;11657563;11496016;3;KU;34;M; ;L;loukkaantunut;SF ;BECE        ;17
6912257;11657564;11496017;4;KU;41;M; ;L;loukkaantunut;SF ;ABECE       ;24
6902244;11657565;11496018;1;KU;34;N; ;0;ei henkilövahinkoa;SF ;            ;14
6902244;11657566;11496019;2;KU;11;M; ;L;loukkaantunut;SF ;            ;
6903337;11657569;11496022;1;KU;54;N; ;0;ei henkilövahinkoa;SF ;            ;14
6903337;11657570;11496023;2;KU;18;N; ;0;ei henkilövahinkoa;SF ;            ;
6911938;11657571;11496024;1;XX;; ; ;-;NA;   ;            ;
6911938;11657572;11496290;2;XX;; ; ;-;NA;   ;            ;
6911939;11657573;11496291;1;KU;17;N;O;L;loukkaantunut;PL ;EI          ;
6911939;11657573;11496292;1;MA;15;N; ;L;loukkaantunut;SF ;            ;
6911939;11657573;11496293;1;MA;14;N; ;0;ei henkilövahinkoa;   ;            ;
6911940;11657574;11496294;1;KU;68;N; ;0;ei henkilövahinkoa;SF ;AB          ;47
6911940;11657575;11496295;2;KU;18;N; ;L;loukkaantunut;SF ;            ;3
6911940;11657575;11496296;2;MA;19;N; ;L;loukkaantunut;SF ;            ;
6892539;11657576;11496297;1;KU;16;M;O;L;loukkaantunut;SF ;EI          ;1
6892539;11657577;11496298;2;KU;45;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;27
6892539;11657577;11496299;2;MA;37;N; ;0;ei henkilövahinkoa;SF ;            ;
6892540;11657578;11496300;1;KU;38;M; ;0;ei henkilövahinkoa;   ;ABEC        ;
6892540;11657578;11496301;1;MA;40;M; ;0;ei henkilövahinkoa;   ;            ;
6902709;11657579;11496302;1;KU;37;M; ;0;ei henkilövahinkoa;SF ;BECEDE      ;19
6902709;11657580;11496303;2;KU;19;N; ;0;ei henkilövahinkoa;SF ;B           ;
6902709;11657580;11496304;2;MA;18;M; ;0;ei henkilövahinkoa;SF ;            ;
6902709;11657580;11496305;2;MA;42;N; ;0;ei henkilövahinkoa;SF ;            ;
6902709;11657580;11496306;2;MA;7;N; ;0;ei henkilövahinkoa;SF ;            ;
6868444;11657581;11496307;1;KU;19;M; ;0;ei henkilövahinkoa;   ;B           ;1
6868444;11657581;11496308;1;MA;22;M; ;0;ei henkilövahinkoa;   ;            ;
6868444;11657581;11496309;1;MA;20;M; ;0;ei henkilövahinkoa;   ;            ;
6868444;11657581;11496310;1;MA;23;M; ;0;ei henkilövahinkoa;   ;            ;
6868444;11657581;11496311;1;MA;20;N; ;L;loukkaantunut;   ;            ;
6868444;11657582;11496312;2;KU;30;M; ;L;loukkaantunut;IRQ;            ;4
6868445;11657583;11496313;1;XX;; ; ;-;NA;   ;            ;
6869699;11657593;11496323;1;KU;21;M; ;0;ei henkilövahinkoa;SF ;AB          ;3
6869699;11657594;11496324;2;KU;; ; ;0;ei henkilövahinkoa;   ;            ;
6891583;11657595;11496325;1;KU;66;M; ;L;loukkaantunut;SF ;ABE         ;39
6891583;11657596;11496326;2;KU;77;M; ;L;loukkaantunut;SF ;ABE         ;48
6890482;11657597;11496327;1;KU;19;N;X;0;ei henkilövahinkoa;SF ;B           ;
6890482;11657598;11496328;2;KU;38;N; ;0;ei henkilövahinkoa;SF ;            ;
6890483;11657599;11496329;1;KU;40;M; ;0;ei henkilövahinkoa;SF ;            ;22
6890483;11657599;11496330;1;MA;34;N; ;L;loukkaantunut;SF ;            ;
6890483;11657600;11496331;2;KU;23;M; ;0;ei henkilövahinkoa;SF ;            ;6
6890483;11657601;11496332;3;KU;68;M; ;0;ei henkilövahinkoa;   ;ABECEDE     ;43
6810201;11657602;11496333;1;XX;; ; ;-;NA;   ;            ;
6803697;11657603;11496334;1;KU;32;M; ;L;loukkaantunut;   ;B           ;14
6891543;11657608;11496342;1;KU;60;M; ;L;loukkaantunut;   ;AB          ;41
6891543;11657609;11496343;2;KU;27;M; ;0;ei henkilövahinkoa;   ;AB          ;10
6842880;11657613;11496348;1;KU;61;N; ;L;loukkaantunut;SF ;ABE         ;41
6842880;11657614;11496349;2;KU;18;M;X;0;ei henkilövahinkoa;SF ;A1B         ;0
6891544;11657617;11496352;1;KU;38;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;21
6842005;11657620;11496356;1;KU;19;M; ;L;loukkaantunut;SF ;B           ;2
6842005;11657831;11496357;2;KU;52;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;35
6911941;11657836;11496362;1;KU;72;M; ;0;ei henkilövahinkoa;SF ;ABE         ;44
6911941;11657836;11496363;1;MA;69;N; ;0;ei henkilövahinkoa;SF ;            ;
6911941;11657837;11496364;2;KU;89;M; ;0;ei henkilövahinkoa;SF ;BE          ;44
6919841;11657841;11496369;1;KU;48;M; ;0;ei henkilövahinkoa;GB ;            ;5
6919841;11657842;11496370;2;KU;44;M; ;0;ei henkilövahinkoa;SF ;            ;26
6884044;11657845;11496373;1;KU;63;N; ;0;ei henkilövahinkoa;SF ;            ;44
6884044;11657846;11496374;2;KU;17;M; ;L;loukkaantunut;SF ;            ;3
6866584;11657847;11496375;1;KU;24;M; ;0;ei henkilövahinkoa;SF ;            ;6
6866584;11657848;11496376;2;KU;68;M; ;L;loukkaantunut;SF ;            ;
6890491;11657853;11496650;1;KU;41;M; ;0;ei henkilövahinkoa;SF ;ABEC1EC     ;23
6890491;11657854;11496651;2;KU;21;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;
6842977;11657855;11496652;1;KU;55;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;37
6842977;11657856;11496653;2;KU;38;N; ;0;ei henkilövahinkoa;SF ;BE          ;20
6842977;11657856;11496654;2;MA;8;N; ;0;ei henkilövahinkoa;SF ;            ;
6842012;11657862;11496662;1;KU;15;M; ;L;loukkaantunut;SF ;AM          ;0
6842012;11657863;11496663;2;KU;79;M; ;0;ei henkilövahinkoa;SF ;AB          ;48
6842013;11657866;11496666;1;KU;15;N; ;L;loukkaantunut;SF ;            ;1
