Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Kuollut;Loukk;Ajoneuvika;Ajoneuvmas
6791552;11657882;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1165
6890494;11657884;1;20;kevytmoottoripyörä(<125cc);-1;Ei arvoa;-1;Ei arvoa;0;0;0;137
6890494;11657885;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;9;1536
6890494;11657886;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;11;1262
6890495;11657887;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;4;1393
6890495;11657888;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;1250
6887642;11657891;1;20;kevytmoottoripyörä(<125cc);-1;Ei arvoa;-1;Ei arvoa;0;0;0;126
6887642;11657892;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;14;1393
6902805;11657896;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1460
6902805;11657897;2;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;0;1;0;256
6791582;11657898;1;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;0;0;26;230
6868459;11658111;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1040
6868459;11658112;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;10;1430
6891625;11658114;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;5;1345
6891626;11658117;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;9;1535
6891626;11658118;2;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;0;1;0;255
6890502;11658121;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;1;5;108
6890502;11658122;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;17;1302
6867501;11658127;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;6;0;1465
6867501;11658128;2;32;kuorma-auto;2;varsinainen perävaunu;1;ammattimaisessa ajossa;0;0;2;13900
6902700;11658131;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1419
6911943;11658132;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;1;5;96
6911943;11658133;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;0;0;104
6892661;11658137;1;20;kevytmoottoripyörä(<125cc);-1;Ei arvoa;-1;Ei arvoa;0;1;0;137
6892661;11658138;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;21;1300
6890504;11658139;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1381
6844828;11658140;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1070
6903347;11658141;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;1;1568
6903347;11658142;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6903347;11658143;3;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6890505;11658148;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;2;1735
6890505;11658149;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;1629
6902251;11658150;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;0;0;96
6902251;11658151;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6902701;11658165;1;40;traktori;-1;Ei arvoa;-1;Ei arvoa;0;0;21;4120
6902701;11658166;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;1;0;107
6903756;11658167;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;13;1240
6903756;11658168;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;5;1495
6902252;11658171;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;11;1460
6813165;11658173;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1170
6813165;11658174;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;19;1220
6891711;11658178;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1253
6902256;11658179;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;24;1380
6902256;11658180;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;10;1550
6913349;11667300;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;0;15;1565
6913349;11667301;2;32;kuorma-auto;2;varsinainen perävaunu;1;ammattimaisessa ajossa;0;0;0;12000
6903350;11667303;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;12;1345
6903350;11667304;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;2130
6891695;11667306;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;13;1400
6891695;11667307;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;6;1808
6790694;11667320;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;0;0;7;15000
6790694;11667321;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1469
6911945;11667328;1;20;kevytmoottoripyörä(<125cc);-1;Ei arvoa;-1;Ei arvoa;0;0;2;119
6911945;11667329;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;0;23;60
6896508;11667330;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;30;850
6896508;11667331;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;1605
6866474;11667340;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;18;1275
6842043;11667349;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;8;1355
6842043;11667350;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;1;2;92
